ICAO_TYPE_CODE,ICAO_ENGINE_DESC,CO2_COEFF,MASS,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR
C135,J,3.15,136897.7201,453.2976516,8.615684986,1
C141,J,3.15,144500,598.3013514,8.958390083,1
C15,J,3.15,98284,-283.2093386,6.875007335,1
C160,T,3.15,50167.83548,353.0153327,4.757265874,1
C17,J,3.15,262330.3466,2845.763489,14.27009407,1
C2,T,3.15,25205,206.8350801,2.670424612,1
C212,T,3.15,6997.647331,100.2143632,1.148327698,1
C25B,J,3.15,6135.15091,255.021045,0.956807156,1
C25C,J,3.15,7605,271.2097986,1.081447996,1
C27J,T,3.15,31425.33034,243.2608083,3.190431324,1
C295,T,3.15,21863.7478,187.2689899,2.391102859,1
C30J,T,3.15,72401.64634,483.2146482,6.61596634,1
C46,P,3.1,25400,493.2440903,2.66305001,1
C5,J,3.15,330245,4141.148052,17.3316359,1
C550,J,3.15,6638.384399,245.8787101,1.154454978,1
C551,J,3.15,5779.834378,248.4365838,0.919229079,1
C55B,J,3.15,6817.682896,261.3861742,1.01147203,1
C560,J,3.15,7335.96851,242.5794591,1.298154324,1
C56X,J,3.15,9242.007683,332.802608,1.307186342,1
C650,J,3.15,10145.41674,338.094087,1.571502018,1
C680,J,3.15,13576.4862,276.229828,1.736277552,1
C68A,J,3.15,14045,437.7602155,1.665645063,1
C700,J,3.15,17405,393.4877451,1.952462311,1
C750,J,3.15,16245.80043,379.0240162,1.849433798,1
C97,P,3.1,79545,847.0655133,5.970682531,1
CAT,P,3.1,12162.68423,328.0775811,1.486530466,1
CL2P,P,3.1,17506.98762,394.7602794,1.96152687,1
CL2T,T,3.15,19754.28305,174.9161428,2.214755982,1
CL30,J,3.15,17443.1602,414.6190488,1.872954153,1
CL35,J,3.15,18603.07112,455.9739086,1.721008173,1
CL60,J,3.15,21428.63433,347.0309376,2.231227698,1
CN35,T,3.15,16131.20818,153.6997228,1.911874438,1
CNBR,J,3.15,24500,482.014483,2.583058899,1
CNTL,J,3.15,17184.45313,390.7359065,1.932860323,1
CONI,P,3.1,50481.152,753.7944526,5.020428441,1
CRJ1,J,3.15,22133.94774,423.0969582,2.619299159,1
CRJ2,J,3.15,23534.60469,449.626096,2.588697834,1
CRJ7,J,3.15,32972.8554,531.2499513,3.561185245,1
CRJ9,J,3.15,37686.04425,574.3152512,3.683585503,1
CRJX,J,3.15,38923.99255,553.1015566,4.358997285,1
CVLP,P,3.1,21125,439.9034555,2.283092235,1
CVLT,T,3.15,25209.40029,206.8608478,2.670792467,1
D228,T,3.15,6041.44409,94.61491793,1.068391091,1
D328,T,3.15,14044.85547,149.9872195,1.789709713,1
DA7X,J,3.15,31307.36059,566.9522457,3.188090381,1
DC10,J,3.15,261049.4361,2998.913416,17.52060885,1
DC2,P,3.1,8405,281.1916718,1.152551205,1
DC3,P,3.1,11940.96246,325.3110829,1.466824054,1
DC3T,T,3.15,13068,135.7618349,1.655796589,1
DC6,P,3.1,46395.21276,740.6819465,4.88683703,1
DC85,J,3.15,148575.9637,676.0451109,9.142131482,1
DC86,J,3.15,156747.0246,831.8975764,9.510476803,1
DC87,J,3.15,158655.933,868.3075463,9.596528968,1
DC91,J,3.15,41405,760.2857241,4.773276527,1
DC92,J,3.15,44196.55085,804.5743721,5.814560522,1
DC93,J,3.15,50358.48463,795.3968392,5.27589947,1
DC95,J,3.15,55124.78637,837.328049,5.833083672,1
DH83,P,3.1,18642,408.9222165,2.062405649,1
DH8A,T,3.15,15681.97872,110.797702,2.386845654,1
DH8B,T,3.15,16252.40539,110.797702,2.386845654,1.036374661
DH8C,T,3.15,19219.76107,186.2681668,2.07982821,1
DH8D,T,3.15,29095.27151,264.6452857,2.866096256,1
DHC4,P,3.1,13005,338.5874426,1.561394659,1
DHC5,T,3.15,22268.36775,189.63841,2.424928247,1
DHC6,T,3.15,5774.906149,93.05409429,1.046109072,1
DHC7,T,3.15,19888.95091,179.2976301,2.197844203,1
DO24,J,3.15,14045,351.5638777,1.653828832,1
E110,T,3.15,5780,56.39470633,1.389584319,1
E120,T,3.15,11995.93317,129.4839022,1.566174026,1
E121,T,3.15,5780,93.08392345,1.046534907,1
E135,J,3.15,20173.35462,453.3995558,2.314218759,1
E145,J,3.15,20816.58745,465.3078668,2.53776239,1
E170,J,3.15,36586.53137,537.5877473,3.867802074,1
E190,J,3.15,48538.95257,705.1893344,4.455375732,1
E195,J,3.15,50663.71527,668.6929943,4.757836696,1
E2,T,3.15,22445,190.6727536,2.439694337,1
E290,J,3.15,55306.64916,769.2803318,5.178199993,1
E295,J,3.15,61605,789.4928606,5.384127083,1
E35L,J,3.15,23184.68259,545.3371397,2.274052981,1
E3CF,J,3.15,149394.1015,691.6500361,9.179012523,1
E3TF,J,3.15,157727,850.5893447,9.554653361,1
E530,J,3.15,9680,297.1002821,1.265871945,1
E545,J,3.15,16467.19582,381.7864421,1.869111202,1
E550,J,3.15,17405,363.3862777,1.815045238,1
E55P,J,3.15,8065.168059,307.6047221,1.064011235,1
E6,J,3.15,154880,796.2864856,9.426312728,1
EC25,T,3.15,10849.29826,122.7693052,1.470317726,1
EC75,T,3.15,7605,103.7709691,1.199101122,1
EH10,T,3.15,13019.26303,135.4764353,1.65172228,1
ETAR,J,3.15,10580,308.3298895,1.345863056,1
EUFI,J,3.15,20251.00497,428.9983211,2.205412421,1
F1,J,3.15,15200,365.9752071,1.75648409,1
F100,J,3.15,43923.82952,743.5812616,4.842054857,1
F104,J,3.15,13978.30771,350.7317352,1.647901286,1
F117,J,3.15,23805,473.3427306,2.521287986,1
F14,J,3.15,30420,555.8803446,3.109222649,1
F15,J,3.15,26991.06147,513.0963075,2.804461981,1
F16,J,3.15,16766.47767,385.520684,1.895711078,1
F18,J,3.15,24606.44147,483.3425895,2.592519312,1
F2,J,3.15,22100,452.0688634,2.369749271,1
F22,J,3.15,37845,648.5246051,3.769149311,1
F27,T,3.15,20459.23012,200.1184224,2.32676545,1
F28,J,3.15,32429.91733,749.5470379,4.697591022,1
F2TH,J,3.15,18055.36398,425.6009862,1.891089712,1
F35,J,3.15,32000,575.5945441,3.249651488,1
F4,J,3.15,25757.4435,497.7040349,2.694819235,1
F5,J,3.15,9713.534293,297.518701,1.26885244,1
F50,T,3.15,20480.24474,152.0084977,2.268114082,1
F60,T,3.15,23120,194.6254965,2.496122937,1
F70,J,3.15,38204.57692,658.5154174,4.305203021,1
F8,J,3.15,13005,338.5874426,1.561394659,1
F86,J,3.15,7605,271.2097986,1.081447996,1
F900,J,3.15,21637.95526,454.2077529,2.11563147,1
FA10,J,3.15,8563.876317,283.1740258,1.166671975,1
FA20,J,3.15,13389.51992,343.3852289,1.59557041,1
FA50,J,3.15,18421.77256,520.3376528,1.797212291,1
FA5X,J,3.15,31205,565.6750576,3.178992673,1
FA7X,J,3.15,31564.6,517.73341,2.443270541,1
FA8X,J,3.15,32805,430.8035308,2.590822072,1
FC1,J,3.15,12500,332.2863851,1.516510758,1
FREL,T,3.15,13005,135.3929122,1.65052992,1
FURY,P,3.1,5780,248.4386504,0.919243799,1
G150,J,3.15,11993.76771,353.8865455,1.383722017,1
G159,T,3.15,15279.79296,148.7139073,1.840697892,1
G222,T,3.15,26723.9505,215.7299257,2.797405722,1
G250,J,3.15,18000,400.9117633,2.005345323,1
G280,J,3.15,18000,400.9117633,2.005345323,1
G4SG,J,3.15,6125,252.7433332,0.949907058,1
GA5C,J,3.15,35494.06419,619.1911762,3.56020046,1
GA6C,J,3.15,41405,692.9439408,4.085558593,1
GALX,J,3.15,16189.05899,277.7101512,1.887862905,1
GFLY,J,3.15,10125,302.6526991,1.305423105,1
GL5T,J,3.15,41433.22204,922.2117775,3.092102973,1
GL7T,J,3.15,48905.28334,748.7372097,4.968904787,1
GLEX,J,3.15,44421.81381,778.6880617,3.203824034,1
GLF2,J,3.15,30241.97075,553.6590128,3.093399585,1
GLF3,J,3.15,31216.75245,565.821697,3.180037219,1
GLF4,J,3.15,33468.908,757.7102162,2.914809947,1
GLF5,J,3.15,41288.62752,782.6656206,2.838797542,1
GLF6,J,3.15,45383.39013,787.6380159,3.048613473,1
GSPN,J,3.15,6125,252.7433332,0.949907058,1
H160,T,3.15,6125,95.10421427,1.075376192,1
H25A,J,3.15,10773.3675,310.7426019,1.363049368,1
H25B,J,3.15,12417.75916,306.2420006,1.582878834,1
H25C,J,3.15,14045,351.5638777,1.653828832,1
H46,T,3.15,10580,121.1923174,1.44780495,1
H47,T,3.15,22056.13338,188.3955836,2.407185895,1
H53,T,3.15,33620,256.1126082,3.373901155,1
H60,T,3.15,9534.4915,115.069908,1.360402608,1
H64,T,3.15,8000,106.0840556,1.232122302,1
HA4T,J,3.15,17322.43864,476.5259703,1.827270876,1
HAR,J,3.15,13465.43073,344.332394,1.602317287,1
HAWK,J,3.15,7396.545478,268.6088403,1.062920764,1
HERN,P,3.1,6029.917355,251.5569545,0.941456207,1
HF20,J,3.15,9245,291.6726386,1.227209575,1
HRZN,J,3.15,16820,386.1885004,1.900468089,1
HUNT,J,3.15,11161.54237,315.5859923,1.397549967,1
I114,T,3.15,23805,198.6367985,2.553387516,1
IL14,P,3.1,17000,388.4344218,1.916466311,1
IL18,T,3.15,63685.83335,432.1755846,5.887342454,1
IL38,T,3.15,63845,433.1076511,5.900648456,1
IL62,J,3.15,168242.1633,1051.152545,10.02866907,1
IL76,J,3.15,189490.7835,1456.442614,10.98654099,1
IL86,J,3.15,212730.587,1899.711942,12.03417397,1
IL96,J,3.15,250623.0981,2622.462797,13.74234005,1
J328,J,3.15,15572.39795,370.6217435,1.789582452,1
JAGR,J,3.15,14664.43597,359.2927919,1.708883689,1
JCOM,J,3.15,8405,281.1916718,1.152551205,1
JS20,T,3.15,5700,92.61545022,1.039847073,1
JS31,T,3.15,7048.26476,55.70967104,1.264138827,1
JS32,T,3.15,7220.138762,101.5172542,1.16692752,1
JS41,T,3.15,11040.84931,81.15656636,1.687054467,1
JU52,P,3.1,10580,308.3298895,1.345863056,1
K35A,J,3.15,136866.1376,452.6952564,8.614261272,1
K35E,J,3.15,146284,632.3288542,9.038811471,1
K35R,J,3.15,146082.0896,628.4776727,9.029709499,1
KA27,T,3.15,11263.77677,125.1964563,1.50496727,1
KC39,J,3.15,87120,871.3750365,6.218350174,1
L101,J,3.15,226290.7494,2158.354578,12.64545595,1
L159,J,3.15,8000,276.1383484,1.116555205,1
L188,T,3.15,51375.59401,360.0878646,4.858231982,1
L29A,J,3.15,20375.37693,430.5501524,2.216466477,1
L29B,J,3.15,20138.89704,427.5995121,2.195448379,1
L37,P,3.1,15680,371.9643311,1.799146016,1
L410,T,3.15,6394.471311,125.7599986,1.146154845,1
L59,J,3.15,6845,261.727019,1.013899947,1
LJ24,J,3.15,5823.393241,248.9800826,0.923100548,1
LJ25,J,3.15,6846.48702,261.7455731,1.014032112,1
LJ31,J,3.15,7775.073879,236.0656748,1.11583053,1
LJ35,J,3.15,8461.36087,281.8949056,1.157560504,1
LJ40,J,3.15,9416.924459,231.4230075,1.287614109,1
LJ45,J,3.15,9548.78274,314.467404,1.196836277,1
LJ55,J,3.15,9680,297.1002821,1.265871945,1
LJ60,J,3.15,10597.64432,228.9927434,1.368994697,1
LJ75,J,3.15,9680,297.1002821,1.265871945,1
M28,T,3.15,7236.746436,101.6145073,1.168315888,1
M339,J,3.15,5811.652844,248.8335937,0.922057073,1
M346,J,3.15,9680,297.1002821,1.265871945,1
M55,J,3.15,24259.21522,479.010129,2.561658186,1
MD11,J,3.15,284573.8516,1699.526141,16.99214553,1
MD80,J,3.15,64748.09369,797.5163493,7.059720733,0.996820598
MD81,J,3.15,63851.99176,797.5163493,7.059720733,0.983024781
MD82,J,3.15,64954.6105,797.5163493,7.059720733,1
MD83,J,3.15,71124.79695,754.6510012,7.142719775,1
MD87,J,3.15,61751.48017,895.6705053,6.295897546,1
MD88,J,3.15,67476.09549,797.5163493,7.059720733,1.038819184
MD90,J,3.15,73616.2024,754.6510012,7.142719775,1.035028648
METR,J,3.15,7220,266.4060221,1.047229576,1
MG21,J,3.15,9328.353883,292.7126735,1.234617986,1
MG29,J,3.15,18004.33239,400.96582,2.005730382,1
MG31,J,3.15,46080,739.6703726,4.876531023,1
MI14,T,3.15,14045,141.4830642,1.737471762,1
MI24,T,3.15,11257.94387,125.1622993,1.504479651,1
MI26,T,3.15,56092.73979,387.7110712,5.252575584,1
MI28,T,3.15,11520,126.6968778,1.526387,1
MI8,T,3.15,12590.24896,132.9641652,1.615857593,1
MIR2,J,3.15,16245.06851,379.0148838,1.849368746,1
MIR4,J,3.15,32805,585.638804,3.321199092,1
MIRA,J,3.15,13520,345.0132735,1.60716735,1
MP20,P,3.1,10000,301.0930314,1.294313229,1
MRF1,J,3.15,15337.78326,367.694376,1.76873013,1
MRJ9,J,3.15,43245,715.9022491,4.249095975,1
MU30,J,3.15,6559.224515,258.1613007,0.988500504,1
N262,T,3.15,7609.726643,103.7986479,1.199496259,1
NH90,T,3.15,10142.03597,118.6276371,1.411192066,1
NIM,J,3.15,80645,850.5956091,6.006647469,1
NORA,P,3.1,18605,408.4605549,2.059117125,1
P1,J,3.15,79380,846.535999,5.96528779,1
P3,T,3.15,65634.65212,388.2251041,5.655026919,1
P38,P,3.1,6845,261.727019,1.013899947,1
P47,P,3.1,8800,286.1202216,1.187658415,1
P8,J,3.15,85805,867.1549674,6.175355725,1
PC24,J,3.15,8167.501342,278.2283199,1.131442559,1
PEMB,P,3.1,5780,248.4386504,0.919243799,1
PRM1,J,3.15,5778.447186,248.4192754,0.919105787,1
PRTS,J,3.15,5780,248.4386504,0.919243799,1
PUMA,T,3.15,6908.261671,99.69092835,1.140855243,1
Q4,J,3.15,14580,358.2392554,1.701379103,1
R721,J,3.15,77273,839.774261,5.896398586,1
R722,J,3.15,95000,-345.8474099,6.726967068,1
RFAL,J,3.15,14045,351.5638777,1.653828832,1
RJ1H,J,3.15,44974.34194,460.9550347,5.8510415,1
RJ70,J,3.15,41916.47891,460.9550347,5.8510415,0.932008721
RJ85,J,3.15,42902.30536,683.2139264,5.617264015,1
S2P,P,3.1,12501.30688,332.3026916,1.516626913,1
S2T,T,3.15,12500,132.4356749,1.608312967,1
S3,J,3.15,22696.95313,459.5172514,2.422805875,1
S4,P,3.1,10000,301.0930314,1.294313229,1
S58P,P,3.1,5780,248.4386504,0.919243799,1
S601,J,3.15,6844.949298,261.7263864,1.013895441,1
S61,T,3.15,9473.74003,114.7141526,1.355323912,1
S61R,T,3.15,9300,113.6967457,1.340799605,1
S64,T,3.15,20047.82667,176.6351094,2.239295619,1
S92,T,3.15,12109.49981,130.1489389,1.575667962,1
SB20,T,3.15,23054.81067,285.9547885,2.522631062,1
SB29,J,3.15,6845,261.727019,1.013899947,1
SB32,J,3.15,13520,345.0132735,1.60716735,1
SB35,J,3.15,12136.55753,327.7515893,1.484208351,1
SB37,J,3.15,16245,379.014029,1.849362657,1
SB39,J,3.15,13872.97188,349.4174241,1.638539142,1
SBR1,J,3.15,11023.80717,313.8674231,1.385308198,1
SBR2,J,3.15,10930.10429,312.6982602,1.376979979,1
SC7,T,3.15,5869.061659,32.38535994,1.492569315,1
SF34,T,3.15,12915.2673,200.1937031,1.030377337,1
SH33,T,3.15,11173.35537,89.44022109,1.639221361,1
SH36,T,3.15,12201.69728,104.6415848,1.93064907,1
SJ30,J,3.15,6125,252.7433332,0.949907058,1
SK70,P,3.1,9900,299.8452973,1.285425328,1
STAR,T,3.15,6539.517483,97.53159358,1.110028993,1
SU17,J,3.15,19220,416.1341199,2.113777717,1
SU24,J,3.15,39605,670.4847261,3.925576372,1
